employee_id,department,satisfaction,engagement,autonomy,tenure_years,salary,remote
E001,HR,3,4,2,6,67700,TRUE
E002,Operations,3,5,4,1,59700,FALSE
E003,Engineering,5,4,3,5,82600,TRUE
E004,Engineering,5,3,5,1,74200,FALSE
E005,Sales,4,4,5,7,65300,TRUE
E006,Engineering,5,4,5,6,82500,TRUE
E007,Engineering,5,4,4,3,72400,FALSE
E008,Operations,4,5,4,1,54900,TRUE
E009,Operations,3,2,2,4,56900,TRUE
E010,Marketing,3,3,3,2,68900,FALSE
E011,Marketing,4,4,4,12,75600,FALSE
E012,Sales,2,3,4,2,55000,TRUE
E013,Operations,3,4,2,4,62000,FALSE
E014,Engineering,5,4,3,1,69000,TRUE
E015,HR,3,3,3,4,58000,TRUE
E016,HR,5,4,4,6,67600,FALSE
E017,Marketing,3,3,4,3,60300,FALSE
E018,Engineering,5,3,5,2,75200,FALSE
E019,Operations,3,3,3,0,55100,TRUE
E020,Operations,3,4,2,11,70700,FALSE
E021,Marketing,2,3,2,4,67900,FALSE
E022,Operations,3,3,3,3,52300,FALSE
E023,Operations,4,3,3,1,48800,FALSE
E024,Sales,3,3,4,4,64300,FALSE
E025,Engineering,5,5,4,3,78800,TRUE
E026,Engineering,4,3,3,1,,FALSE
E027,HR,4,3,5,2,63400,TRUE
E028,Engineering,4,4,4,0,69000,FALSE
E029,Marketing,2,1,2,4,68400,FALSE
E030,Sales,3,4,3,1,57300,FALSE
E031,Operations,4,4,3,4,54500,TRUE
E032,Engineering,4,3,5,1,80900,FALSE
E033,Engineering,5,5,5,2,73000,FALSE
E034,Sales,2,3,2,2,59000,FALSE
E035,HR,3,3,4,9,72200,FALSE
E036,HR,2,3,2,1,55500,TRUE
E037,Sales,3,2,3,0,61800,TRUE
E038,Marketing,4,4,4,0,57700,FALSE
E039,Operations,4,4,3,3,57400,TRUE
E040,Sales,2,3,3,0,,TRUE
E041,Marketing,4,4,3,1,64100,FALSE
E042,Sales,3,4,4,1,54000,FALSE
E043,Operations,4,5,3,7,60100,FALSE
E044,Marketing,4,3,4,3,66000,FALSE
E045,Engineering,4,3,4,2,76000,TRUE
E046,Engineering,4,4,3,2,71400,TRUE
E047,HR,5,5,4,2,56000,FALSE
E048,Sales,3,3,4,2,61900,FALSE
E049,Marketing,4,3,3,0,64700,FALSE
E050,Marketing,4,4,3,2,62300,TRUE
E051,Sales,3,3,2,11,77100,FALSE
E052,Marketing,3,4,3,4,65700,FALSE
E053,Engineering,5,5,5,0,77600,FALSE
E054,Operations,5,5,4,9,64200,TRUE
E055,Sales,3,3,3,3,62100,TRUE
E056,Marketing,2,4,2,1,63900,TRUE
E057,HR,4,4,4,4,58600,FALSE
E058,Sales,3,3,4,1,54900,FALSE
E059,Sales,3,4,3,9,67600,FALSE
E060,Sales,4,4,4,1,,TRUE
